cve_id,description,product,platform,affected_version_range,vulnerability_type,precondition,postcondition
CVE-2018-6329,"It was discovered that the Unitrends Backup (UB) before 10.1.0 libbpext.so authentication could be bypassed with a SQL injection, allowing a remote attacker to place a privilege escalation exploit on the target system and subsequently execute arbitrary commands.",unitrends,Unitrends Backup (UB),< 10.1.0,SQL Injection / Privilege Escalation,Network access to libbpext.so component,RCE with privilege escalation
CVE-2020-8427,"In Unitrends Backup before 10.4.1, an HTTP request parameter was not properly sanitized, allowing for SQL injection that resulted in an authentication bypass.",unitrends,Unitrends Backup,< 10.4.1,SQL Injection / Authentication Bypass,Network access to web interface,Authentication bypass leading to unauthorized access
CVE-2021-40385,An issue was discovered in the server software in Kaseya Unitrends Backup Software before 10.5.5-2. There is a privilege escalation from read-only user to admin.,unitrends,Kaseya Unitrends Backup Software,< 10.5.5-2,Privilege Escalation,Authenticated read-only user access,Admin privileges
CVE-2021-40387,An issue was discovered in the server software in Kaseya Unitrends Backup Software before 10.5.5-2. There is authenticated remote code execution.,unitrends,Kaseya Unitrends Backup Software,< 10.5.5-2,Remote Code Execution (RCE),Authenticated user access,RCE (web server privileges)
CVE-2021-43033,An issue was discovered in Kaseya Unitrends Backup Appliance before 10.5.5. Multiple functions in the bpserverd daemon were vulnerable to arbitrary remote code execution as root. The vulnerability was caused by untrusted input (received by the server) being passed to system calls.,unitrends,Kaseya Unitrends Backup Appliance,< 10.5.5,Remote Code Execution (RCE),Network access to bpserverd daemon,Root RCE
CVE-2021-43034,"An issue was discovered in Kaseya Unitrends Backup Appliance before 10.5.5. A world writable file allowed local users to execute arbitrary code as the user apache, leading to privilege escalation.",unitrends,Kaseya Unitrends Backup Appliance,< 10.5.5,Privilege Escalation,Local user access,Apache user privileges (web server)
CVE-2021-43035,"An issue was discovered in Kaseya Unitrends Backup Appliance before 10.5.5. Two unauthenticated SQL injection vulnerabilities were discovered, allowing arbitrary SQL queries to be injected and executed under the postgres superuser account. Remote code execution was possible, leading to full access to the postgres user account.",unitrends,Kaseya Unitrends Backup Appliance,< 10.5.5,SQL Injection / RCE,Network access to vulnerable SQL endpoint (unauthenticated),Postgres superuser RCE
CVE-2021-43036,An issue was discovered in Kaseya Unitrends Backup Appliance before 10.5.5. The password for the PostgreSQL wguest account is weak.,unitrends,Kaseya Unitrends Backup Appliance,< 10.5.5,Weak Credentials,Network access to PostgreSQL service,wguest account access (limited PostgreSQL user)
CVE-2021-43037,An issue was discovered in Kaseya Unitrends Backup Appliance before 10.5.5. The Unitrends Windows agent was vulnerable to DLL injection and binary planting due to insecure default permissions. This allowed privilege escalation from an unprivileged user to SYSTEM.,unitrends,Kaseya Unitrends Backup Appliance - Windows Agent,< 10.5.5,DLL Injection / Privilege Escalation,Unprivileged user access on Windows system with agent,SYSTEM privileges (Windows)
CVE-2021-43038,An issue was discovered in Kaseya Unitrends Backup Appliance before 10.5.5. The wguest account could execute commands by injecting into PostgreSQL trigger functions. This allowed privilege escalation from the wguest user to the postgres user.,unitrends,Kaseya Unitrends Backup Appliance,< 10.5.5,Privilege Escalation,wguest account access,Postgres user privileges
CVE-2021-43039,An issue was discovered in Kaseya Unitrends Backup Appliance before 10.5.5. The Samba file sharing service allowed anonymous read/write access.,unitrends,Kaseya Unitrends Backup Appliance,< 10.5.5,Insecure Access Control,Network access to Samba service (SMB ports 139/445),Anonymous read/write access to file shares
CVE-2021-43040,"An issue was discovered in Kaseya Unitrends Backup Appliance before 10.5.5. The privileged vaultServer could be leveraged to create arbitrary writable files, leading to privilege escalation.",unitrends,Kaseya Unitrends Backup Appliance,< 10.5.5,Privilege Escalation,Access to vaultServer component,Elevated privileges (root/system)
CVE-2021-43041,An issue was discovered in Kaseya Unitrends Backup Appliance before 10.5.5. A crafted HTTP request could induce a format string vulnerability in the privileged vaultServer application.,unitrends,Kaseya Unitrends Backup Appliance,< 10.5.5,Format String Vulnerability,Network access to vaultServer HTTP endpoint,RCE with vaultServer privileges
CVE-2021-43042,An issue was discovered in Kaseya Unitrends Backup Appliance before 10.5.5. A buffer overflow existed in the vaultServer component. This was exploitable by a remote unauthenticated attacker.,unitrends,Kaseya Unitrends Backup Appliance,< 10.5.5,Buffer Overflow,Network access to vaultServer (unauthenticated),Unauthenticated RCE (vaultServer privileges)
CVE-2021-43043,An issue was discovered in Kaseya Unitrends Backup Appliance before 10.5.5. The apache user could read arbitrary files such as /etc/shadow by abusing an insecure Sudo rule.,unitrends,Kaseya Unitrends Backup Appliance,< 10.5.5,Privilege Escalation / Arbitrary File Read,Apache user access,Arbitrary file read including sensitive files (/etc/shadow)
CVE-2021-43044,An issue was discovered in Kaseya Unitrends Backup Appliance before 10.5.5. The SNMP daemon was configured with a weak default community.,unitrends,Kaseya Unitrends Backup Appliance,< 10.5.5,Weak Credentials,Network access to SNMP service (UDP port 161),SNMP access for information disclosure
CVE-2021-40386,"Kaseya Unitrends Client/Agent through 10.5,5 allows remote attackers to execute arbitrary code.",unitrends,Kaseya Unitrends Client/Agent,<= 10.5.5,Remote Code Execution (RCE),Network access to client/agent,RCE (agent privileges)
